make,body,state,units,avg_price,revenue
acura,coupe,az,1,1000.0,1000.0
acura,coupe,ca,2,1450.0,2900.0
acura,coupe,ga,2,1700.0,3400.0
acura,coupe,il,1,1050.0,1050.0
acura,coupe,ma,1,1600.0,1600.0
acura,coupe,md,1,2750.0,2750.0
acura,coupe,nc,1,2300.0,2300.0
acura,coupe,nm,1,1300.0,1300.0
acura,coupe,pa,1,4700.0,4700.0
acura,coupe,tn,1,4800.0,4800.0
acura,coupe,tx,2,1250.0,2500.0
acura,coupe,va,1,2500.0,2500.0
acura,coupe,wa,1,750.0,750.0
acura,hatchback,az,1,4300.0,4300.0
acura,hatchback,ca,10,9705.0,97050.0
acura,hatchback,fl,8,5700.0,45600.0
